Accession,Cont_Global_Rep1,Cont_Global_Rep2,Cont_Global_Rep3,Cont_Global_Rep4,Cont_PISA_Rep1,Cont_PISA_Rep2,Cont_PISA_Rep3,Cont_PISA_Rep4,DZNep_Global_Rep1,DZNep_Global_Rep2,DZNep_Global_Rep3,DZNep_Global_Rep4,DZNep_PISA_Rep1,DZNep_PISA_Rep2,DZNep_PISA_Rep3,DZNep_PISA_Rep4,cont_global_mean,cont_global_sd,dznep_global_mean,dznep_global_sd,FC_global,log10FC_global,pval,log10.pvalue,protein_type,cont_pisa_rep1_norm,cont_pisa_rep2_norm,cont_pisa_rep3_norm,cont_pisa_rep4_norm,dznep_pisa_rep1_norm,dznep_pisa_rep2_norm,dznep_pisa_rep3_norm,dznep_pisa_rep4_norm,rep1_sm,rep2_sm,rep3_sm,rep4_sm,pisa_sm_mean,pisa_sm_sd,pval.pisa,log10.pvalue_pisa,protein_type.pisa,Gene.Name
Q86U42,2076,1877,1951.9,2181.7,2048.1,1766.6,1733.3,1495.2,9895.5,9420.8,8858.6,8193.9,6216,6108.1,4662.8,4945.9,2021.65,134.608828338511,9092.2,733.662206559213,4.49741547745653,0.652963010145625,0.000213170556204339,3.67127278163914,Up with DZNep,0.986560693641618,0.94118273841236,0.888006557712998,0.685337122427465,0.62816431711384,0.648363196331522,0.526358566816427,0.603607561722745,0.636721411224223,0.688881308453677,0.592741756515885,0.8807454637577,0.630488009479133,0.0431893920108307,0.0192385287418817,1.71582814350994,Destabilized with DZNep,PABPN1
Q9NTZ6,18322.1,18280,18427.6,18558.6,14743,13491,14293.4,13801.7,25266,24483.3,25538.2,25965,17850.8,18262.6,17299.9,17371.4,18397.075,124.297904916642,25313.125,623.546327468938,1.37593204354497,0.138596984886239,0.00012733893277973,3.89503879425399,Up with DZNep,0.804656671451417,0.738019693654267,0.775651739781632,0.743682174301941,0.706514683764743,0.745920688796036,0.677412660250135,0.669031388407472,0.878032468792376,1.01070566979405,0.873346407294653,0.89962004136439,0.857778983572138,0.141025735694096,0.0304300964671823,1.51669667087225,Destabilized with DZNep,RBM12
Q96T37,6094.1,5787,6238.4,6738.1,4351.3,4346.9,4229.6,4209.7,13339.2,10969.8,11981.4,13410.2,6545.1,5989.5,6811.9,6807.5,6214.4,396.644483973579,12425.15,1172.00235921264,1.99941265447992,0.300902436473563,0.000835751087515959,3.077923049612,Up with DZNep,0.714018476887481,0.751149127354415,0.677994357527571,0.624760689215061,0.490666606693055,0.54599901547886,0.568539569666316,0.507635978583466,0.687190349515811,0.726884976092426,0.838560916258357,0.812528680735742,0.690068055112515,0.137471644613136,0.00344981220946553,2.46220454510429,Destabilized with DZNep,RBM15
Q6I9Y2,5932,6374.1,6401.4,6320.4,5200.3,5008.4,5192.9,5026.1,8781.6,8130.2,8949.2,8435.4,6314.7,6449.2,6178,6358.3,6256.975,219.247445823207,8574.1,365.167158070566,1.37032671538563,0.136824124654867,0.000126428197821026,3.89815605269671,Up with DZNep,0.876652056641942,0.785742300873849,0.811213172118599,0.795218657047022,0.719083082809511,0.793240018695727,0.690341036070263,0.753763899755791,0.820260532512743,1.00954220972135,0.850998306976869,0.947869989060405,0.85864123724169,0.108477113242016,0.0418233956824399,1.37858070929269,Destabilized with DZNep,THOC7
Q5JSZ5,5804,6134.2,6443,6754.3,5807.4,5861.2,5777.5,6189.7,9753,9804.6,9682.4,10509.5,8844.2,9239.9,8730.4,9502.5,6283.875,407.96366974687,9937.375,384.691481363096,1.58140876449643,0.199044141418539,1.29196686515904E-05,4.88874862447028,Up with DZNep,1.00058580289456,0.955495419125558,0.89670960732578,0.91640880624195,0.906818414846714,0.942404585602676,0.901677270098323,0.904181930634188,0.906287509000642,0.986299428274745,1.00553987905556,0.986657837065205,0.950577186741284,0.0529498864657945,0.315117234259689,0.501527843924691,ns,PRRC2B
O14654,2905,3162.3,3559.9,3422.5,1919.6,1867.1,1816.9,1613.1,1364.7,1183.9,1254.7,1536.1,1012.5,945,1143.1,1016.8,3262.425,289.766013362506,1334.85,153.408506934915,0.4091588312375,-0.388108070624208,0.000139223791520334,3.85628654315146,Down with DZNep,0.6607917383821,0.590424690889542,0.510379505042276,0.471322132943755,0.74192130138492,0.798209308218599,0.911054435323185,0.661936071870321,1.12277629741779,1.35192399731117,1.78505293869063,1.40442390798845,1.23042232632248,0.468024949929277,0.0181066582438168,1.74216169547215,Stabilized with DZNep,IRS4
Q9H3R5,2606.4,3193.8,2889,2835.1,1694,1646.4,1924.1,1946,1330.1,1402.7,1422.6,1150.3,1090.5,1057.4,1012.5,1179.3,2881.075,241.812453153265,1326.425,123.963741338613,0.460392388257855,-0.33687186524411,0.000175451644590833,3.75584255658294,Down with DZNep,0.649938612645795,0.515498778884088,0.666008999653859,0.686395541603471,0.819863168182843,0.753831895629857,0.711725010544074,1.02521081457011,1.2614470847413,1.46233497829363,1.06864173143903,1.49361520061034,1.20440865226102,0.20026973000021,0.0582264614266654,1.23487960229399,ns,CENPH
Q96DB5,5020.2,4869,5119.7,5105.2,3935,4173.1,4301.1,4532.1,3524.5,3440.5,3637.3,3531.5,3114.5,3353.4,3412.7,3307.1,5028.525,115.049942054165,3533.45,80.6400024801586,0.702681203732705,-0.153241663403645,2.13722756285958E-06,5.67014923355303,Down with DZNep,0.783833313413808,0.857075374820292,0.840107818817509,0.887741910209199,0.883671442757838,0.974683912222061,0.938250900393149,0.936457595922413,1.12737163327393,1.1372207636072,1.11682200710116,1.05487595567245,1.07946799997618,0.0957034261073596,0.0199636452152493,1.69976015681977,Stabilized with DZNep,RMDN1
P04637,7927.6,8854.1,8344.1,7967.2,5328.1,5528.4,5503.3,5728.6,5483.4,5941.4,6131.4,5691.3,4848.5,5070.2,4964.6,5003.3,8273.25,430.32815772772,5811.875,283.611887092202,0.702489952557943,-0.153359882924445,0.000172950104722529,3.76207917068112,Down with DZNep,0.672094959382411,0.624388701279633,0.659543869320837,0.719022994276534,0.884214173687858,0.853367893089171,0.809700883974296,0.879113734999034,1.31560899444978,1.36672539291673,1.22766797121181,1.22265037696545,1.19727902339434,0.219747349687028,0.000382990569111337,3.41681192011319,Stabilized with DZNep,TP53
Q9NQ88,17522.1,17805.1,17961.3,17575.4,15007.3,14928.1,14813,14205.3,21721.8,21824.5,21332.4,21835.5,16697.2,17126.6,17447.2,16063.9,17715.975,204.512809297283,21678.55,236.37899652888,1.22367241994866,0.0876651716906847,3.13425096809926E-07,6.50386623132091,Up with DZNep,0.8564783901473,0.838417082745955,0.824717587257047,0.808249029894056,0.768683994880719,0.784741918486105,0.817873281956086,0.735678138810652,0.897493741492437,0.935980354689274,0.991701031472209,0.910212213811235,0.890213316616143,0.110043179110819,0.040118517075209,1.39665512844216,Destabilized with DZNep,TIGAR
