"","Accession","Cont_Global_Rep1","Cont_Global_Rep2","Cont_Global_Rep3","Cont_Global_Rep4","Cont_PISA_Rep1","Cont_PISA_Rep2","Cont_PISA_Rep3","Cont_PISA_Rep4","DZNep_Global_Rep1","DZNep_Global_Rep2","DZNep_Global_Rep3","DZNep_Global_Rep4","DZNep_PISA_Rep1","DZNep_PISA_Rep2","DZNep_PISA_Rep3","DZNep_PISA_Rep4","cont_global_mean","cont_global_sd","dznep_global_mean","dznep_global_sd","FC_global","log10FC_global","pval","log10.pvalue","protein_type","protein_type1.25"
"1","Q86U42",2076,1877,1951.9,2181.7,2048.1,1766.6,1733.3,1495.2,9895.5,9420.8,8858.6,8193.9,6216,6108.1,4662.8,4945.9,2021.65,134.608828338511,9092.2,733.662206559213,4.49741547745653,0.652963010145625,0.000213170556204339,3.67127278163914,"Up with DZNep","Up with DZNep"
"2","Q9NTZ6",18322.1,18280,18427.6,18558.6,14743,13491,14293.4,13801.7,25266,24483.3,25538.2,25965,17850.8,18262.6,17299.9,17371.4,18397.075,124.297904916642,25313.125,623.546327468938,1.37593204354497,0.138596984886239,0.00012733893277973,3.89503879425399,"Up with DZNep","Up with DZNep"
"3","Q96T37",6094.1,5787,6238.4,6738.1,4351.3,4346.9,4229.6,4209.7,13339.2,10969.8,11981.4,13410.2,6545.1,5989.5,6811.9,6807.5,6214.4,396.644483973579,12425.15,1172.00235921264,1.99941265447992,0.300902436473563,0.000835751087515959,3.077923049612,"Up with DZNep","Up with DZNep"
"4","Q6I9Y2",5932,6374.1,6401.4,6320.4,5200.3,5008.4,5192.9,5026.1,8781.6,8130.2,8949.2,8435.4,6314.7,6449.2,6178,6358.3,6256.975,219.247445823207,8574.1,365.167158070566,1.37032671538563,0.136824124654867,0.000126428197821026,3.89815605269671,"Up with DZNep","Up with DZNep"
"5","Q5JSZ5",5804,6134.2,6443,6754.3,5807.4,5861.2,5777.5,6189.7,9753,9804.6,9682.4,10509.5,8844.2,9239.9,8730.4,9502.5,6283.875,407.96366974687,9937.375,384.691481363096,1.58140876449643,0.199044141418539,1.29196686515904e-05,4.88874862447028,"Up with DZNep","Up with DZNep"
"6","O14654",2905,3162.3,3559.9,3422.5,1919.6,1867.1,1816.9,1613.1,1364.7,1183.9,1254.7,1536.1,1012.5,945,1143.1,1016.8,3262.425,289.766013362506,1334.85,153.408506934915,0.4091588312375,-0.388108070624208,0.000139223791520334,3.85628654315146,"Down with DZNep","Down with DZNep"
"7","Q9H3R5",2606.4,3193.8,2889,2835.1,1694,1646.4,1924.1,1946,1330.1,1402.7,1422.6,1150.3,1090.5,1057.4,1012.5,1179.3,2881.075,241.812453153265,1326.425,123.963741338613,0.460392388257855,-0.33687186524411,0.000175451644590833,3.75584255658294,"Down with DZNep","Down with DZNep"
"8","Q96DB5",5020.2,4869,5119.7,5105.2,3935,4173.1,4301.1,4532.1,3524.5,3440.5,3637.3,3531.5,3114.5,3353.4,3412.7,3307.1,5028.525,115.049942054165,3533.45,80.6400024801586,0.702681203732705,-0.153241663403645,2.13722756285958e-06,5.67014923355303,"Down with DZNep","Down with DZNep"
"9","P04637",7927.6,8854.1,8344.1,7967.2,5328.1,5528.4,5503.3,5728.6,5483.4,5941.4,6131.4,5691.3,4848.5,5070.2,4964.6,5003.3,8273.25,430.32815772772,5811.875,283.611887092202,0.702489952557943,-0.153359882924445,0.000172950104722529,3.76207917068112,"Down with DZNep","Down with DZNep"
"10","Q9NQ88",17522.1,17805.1,17961.3,17575.4,15007.3,14928.1,14813,14205.3,21721.8,21824.5,21332.4,21835.5,16697.2,17126.6,17447.2,16063.9,17715.975,204.512809297283,21678.55,236.37899652888,1.22367241994866,0.0876651716906847,3.13425096809926e-07,6.50386623132091,"Up with DZNep","ns"
