GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A023UFG1	PRDM14	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A024QYX5	FTSJ1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A059PXT9	A0A059PXT9	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A059PXU1	MGMT	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A087WVM7	EMG1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A087WW35	METTL2A	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A087WWQ2	A0A087WWQ2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A087WZC1	MRM1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A090N7V3	INMT	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A090N8E9	EZH2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0A0MRN1	HENMT1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0A0MSY9	EZH1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0B4J214	TRDMT1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0C4DG02	DNMT3A	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0C4DGB1	DIMT1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0G2SKE6	MGMT	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0G2SKF3	MGMT	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0G2UEQ4	PRMT8	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2PZM4	JMJD6	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z3N3	PRMT2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z3Q3	PRMT2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z3W8	PRMT2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z4J2	SHMT2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z594	GNMT	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z5C9	FTSJ1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z5F2	GNMT	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z5L8	METTL17	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0S2Z5V5	METTL17	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0U1RQY2	PRDM9	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0U1RR76	METTL15	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0U1S8T6	Dnmt2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0U1SZ86	Dnmt2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0U1U562	Dnmt2	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
UniProtKB	A0A0U3B3H7	EMG1	enables	GO:0008168	methyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	UniProt		F
