Checked,Protein FDR Confidence: Combined,Master,Accession,Description,# Peptides,# PSMs,"Abundance Ratio P-Value: (DZNep, Global) / (Control, Global)","Abundance Ratio P-Value: (DZNep, PISA) / (Control, PISA)","Abundance Ratio: (DZNep, Global) / (Control, Global)","Abundance Ratio: (DZNep, PISA) / (Control, PISA)","Abundance Ratio (log2): (DZNep, Global) / (Control, Global)","Abundance Ratio (log2): (DZNep, PISA) / (Control, PISA)","Abundances (Grouped): Control, Global","Abundances (Grouped): Control, PISA","Abundances (Grouped): DZNep, Global","Abundances (Grouped): DZNep, PISA","Abundances (Grouped) CV [%]: Control, Global","Abundances (Grouped) CV [%]: Control, PISA","Abundances (Grouped) CV [%]: DZNep, Global","Abundances (Grouped) CV [%]: DZNep, PISA",# Unique Peptides,# Isoforms,"Abundances (Normalized): F3: 127N, Sample, Control, Global","Abundances (Normalized): F3: 129N, Sample, Control, Global","Abundances (Normalized): F3: 131N, Sample, Control, Global","Abundances (Normalized): F3: 133N, Sample, Control, Global","Abundances (Normalized): F3: 126, Sample, Control, PISA","Abundances (Normalized): F3: 128C, Sample, Control, PISA","Abundances (Normalized): F3: 130C, Sample, Control, PISA","Abundances (Normalized): F3: 132C, Sample, Control, PISA","Abundances (Normalized): F3: 128N, Sample, DZNep, Global","Abundances (Normalized): F3: 130N, Sample, DZNep, Global","Abundances (Normalized): F3: 132N, Sample, DZNep, Global","Abundances (Normalized): F3: 133C, Sample, DZNep, Global","Abundances (Normalized): F3: 127C, Sample, DZNep, PISA","Abundances (Normalized): F3: 129C, Sample, DZNep, PISA","Abundances (Normalized): F3: 131C, Sample, DZNep, PISA","Abundances (Normalized): F3: 134N, Sample, DZNep, PISA",# Protein Groups,Sum PEP Score,Coverage [%],"Abundance: F3: 127N, Sample, Control, Global","Abundance: F3: 129N, Sample, Control, Global","Abundance: F3: 131N, Sample, Control, Global","Abundance: F3: 133N, Sample, Control, Global","Abundance: F3: 126, Sample, Control, PISA","Abundance: F3: 128C, Sample, Control, PISA","Abundance: F3: 130C, Sample, Control, PISA","Abundance: F3: 132C, Sample, Control, PISA","Abundance: F3: 128N, Sample, DZNep, Global","Abundance: F3: 130N, Sample, DZNep, Global","Abundance: F3: 132N, Sample, DZNep, Global","Abundance: F3: 133C, Sample, DZNep, Global","Abundance: F3: 127C, Sample, DZNep, PISA","Abundance: F3: 129C, Sample, DZNep, PISA","Abundance: F3: 131C, Sample, DZNep, PISA","Abundance: F3: 134N, Sample, DZNep, PISA"
FALSE,High,Master Protein,Q86U42,Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3,5,16,1.34247768457385E-09,2.99062035136188E-08,4.538,3.141,2.18,1.65,2012.9,1749.8,9135.2,5496.3,6.66,12.86,8.07,14.47,5,5,2075.9,1876.9,1951.8,2181.6,2048,1766.5,1733.2,1495.1,9895.4,9420.7,8858.5,8193.8,6215.9,6108,4662.7,4945.8,1,22.286,12,597.2,515.8,1087.3,1464.1,1335.9,1338.3,969.6,723.7,4749.6,3186.5,4091.4,8193.8,2224.6,2197.1,2715.5,2274.3
FALSE,High,Master Protein,Q9NTZ6,RNA-binding protein 12 OS=Homo sapiens OX=9606 GN=RBM12 PE=1 SV=1,15,76,5.17006992772906E-09,2.16370250161191E-07,1.382,1.254,0.47,0.33,18374.6,14045.3,25401.6,17609.4,0.68,3.91,2.46,2.54,15,20,18322,18279.9,18427.5,18558.5,14742.9,13490.9,14293.3,13801.6,25265.9,24483.2,25538.1,25964.9,17850.7,18262.5,17299.8,17371.3,1,104.331,17,5270.5,5023.9,10265.8,12454.5,9616.5,10220.1,7996,6680.7,12127.2,8281.3,11795.2,25964.9,6388.5,6569.2,10075.2,7988
FALSE,High,Master Protein,Q96T37,RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2,12,46,2.18477947955265E-08,5.17695887847225E-06,2.05,1.557,1.04,0.64,6165.7,4287.8,12642,6674.9,6.38,1.76,9.43,5.91,9,12,6094,5786.9,6238.3,6738,4351.2,4346.8,4229.5,4209.6,13339.1,10969.7,11981.3,13410.1,6545,5989.4,6811.8,6807.4,1,51.076,16,1753,1590.4,3475.3,4521.8,2838.2,3293,2366.1,2037.7,6402.5,3710.4,5533.8,13410.1,2342.4,2154.4,3967.1,3130.3
FALSE,High,Master Protein,Q6I9Y2,THO complex subunit 7 homolog OS=Homo sapiens OX=9606 GN=THOC7 PE=1 SV=3,7,33,3.29180764868653E-08,2.41145991797254E-06,1.356,1.24,0.44,0.31,6347.1,5108.7,8606.7,6336.3,3.5,2.03,4.26,1.79,7,7,5931.9,6374,6401.3,6320.3,5200.2,5008.3,5192.8,5026,8781.5,8130.1,8949.1,8435.3,6314.6,6449.1,6177.9,6358.2,1,45.209,40,1706.4,1751.8,3566.1,4241.6,3392,3794,2905,2432.8,4215,2750,4133.3,8435.3,2259.9,2319.8,3597.9,2923.7
FALSE,High,Master Protein,Q5JSZ5,Protein PRRC2B OS=Homo sapiens OX=9606 GN=PRRC2B PE=1 SV=2,21,54,3.44011568120806E-08,7.44391389639887E-08,1.555,1.549,0.64,0.63,6286.6,5834.2,9778.6,9039.8,6.49,3.22,3.87,3.93,19,24,5803.9,6134.1,6442.9,6754.2,5807.3,5861.1,5777.4,6189.6,9752.9,9804.5,9682.3,10509.4,8844.1,9239.8,8730.3,9502.4,1,94.481,11,1669.5,1685.8,3589.3,4532.7,3788,4440.1,3232,2996.1,4681.2,3316.3,4471.9,10509.4,3165.2,3323.6,5084.4,4369.5
FALSE,High,Master Protein,O14654,Insulin receptor substrate 4 OS=Homo sapiens OX=9606 GN=IRS4 PE=1 SV=1,8,29,4.65242421254786E-08,7.7908753908229E-06,0.398,0.551,-1.33,-0.86,3289.7,1841.7,1308.5,1014.6,8.88,7.43,11.49,8.03,8,8,2904.9,3162.2,3559.8,3422.4,1919.5,1867,1816.8,1613,1364.6,1183.8,1254.6,1536,1012.4,944.9,1143,1016.7,1,40.919,7,835.6,869.1,1983.1,2296.7,1252.1,1414.3,1016.4,780.8,655,400.4,579.5,1536,362.3,339.9,665.7,467.5
FALSE,Medium,Master Protein,P10746,Uroporphyrinogen-III synthase OS=Homo sapiens OX=9606 GN=UROS PE=1 SV=1,1,4,7.26714697307784E-08,6.62619609237414E-06,0.502,0.599,-0.99,-0.74,717.8,526.9,360.2,315.7,7.23,9.43,6.78,6.85,1,1,819.9,724,706,711.7,505.6,452.2,559,549,328.5,380.7,346.9,374.1,313.3,347.5,318.2,294.8,1,3.225,3,235.9,199,393.3,477.6,329.8,342.6,312.7,265.7,157.7,128.8,160.2,374.1,112.1,125,185.3,135.6
FALSE,High,Master Protein,Q9H3R5,Centromere protein H OS=Homo sapiens OX=9606 GN=CENPH PE=1 SV=1,2,4,9.14482363167934E-08,9.5425688377837E-06,0.477,0.595,-1.07,-0.75,2861.8,1805.3,1365.8,1073.7,8.39,8.57,9.34,6.5,2,2,2606.3,3193.7,2888.9,2835,1693.9,1646.3,1924,1945.9,1330,1402.6,1422.5,1150.2,1090.4,1057.3,1012.4,1179.2,1,7.405,10,749.7,877.7,1609.4,1902.5,1104.9,1247.1,1076.3,941.9,638.4,474.4,657,1150.2,390.2,380.3,589.6,542.2
FALSE,High,Master Protein,Q96DB5,Regulator of microtubule dynamics protein 1 OS=Homo sapiens OX=9606 GN=RMDN1 PE=1 SV=1,10,22,1.27084507139941E-07,5.51016989225328E-06,0.697,0.786,-0.52,-0.35,5062.4,4236.5,3527.9,3330.1,2.29,5.89,2.28,3.91,9,10,5020.1,4868.9,5119.6,5105.1,3934.9,4173,4301,4532,3524.4,3440.4,3637.2,3531.4,3114.4,3353.3,3412.6,3307,1,39.445,41,1444.1,1338.1,2852.1,3426,2566.6,3161.3,2406.1,2193.7,1691.7,1163.7,1679.9,3531.4,1114.6,1206.2,1987.4,1520.7
FALSE,High,Master Protein,P04637,Cellular tumor antigen p53 OS=Homo sapiens OX=9606 GN=TP53 PE=1 SV=4,5,13,1.45162861509007E-07,0.0128487466543887,0.713,0.904,-0.49,-0.15,8153.4,5515.7,5814.9,4983.8,5.2,2.97,4.88,1.87,5,5,7927.5,8854,8344,7967.1,5328,5528.3,5503.2,5728.5,5483.3,5941.3,6131.3,5691.2,4848.4,5070.1,4964.5,5003.2,1,16.865,12,2280.4,2433.3,4648.4,5346.7,3475.4,4188,3078.6,2772.9,2631.9,2009.6,2831.9,5691.2,1735.2,1823.8,2891.2,2300.6
